Scanning code references (one pass)...
Files: 2314
Code refs scanned.


=== USER (4 tables) ===
  users                                             56 rows  Code:1248
  agents                                             2 rows  Code:0
  builders                                           2 rows  Code:3
  companies                                          1 rows  Code:0

=== ADDRESS (2 tables) ===
  addresses                                          5 rows  Code:0
  user_addresses                                     2 rows  Code:0

=== BANK_KYC (10 tables) ===
  bank_branches                                     30 rows  Code:3
  banks                                             23 rows  Code:5
  chart_of_accounts                                  9 rows  Code:16
  bank_accounts                                      4 rows  Code:1
  accounting_settings                                3 rows  Code:0
  kyc_verification                                   3 rows  Code:3
  social_accounts                                    3 rows  Code:5
  user_bank_accounts                                 3 rows  Code:8
  user_social_accounts                               3 rows  Code:0
  accounting_payments                                1 rows  Code:0

=== CONTACT (3 tables) ===
  contacts                                           8 rows  Code:4
  email_verifications                                3 rows  Code:0
  contact_requests                                   2 rows  Code:0

=== PROPERTY (52 tables) ===
  inventory_plots                                  417 rows  Code:8
  plots                                            194 rows  Code:146
  plot_master                                       77 rows  Code:2
  property_performance                              72 rows  Code:0
  property_summary                                  72 rows  Code:0
  property_images                                   34 rows  Code:66
  plot_categories                                   16 rows  Code:1
  property_feature_map                               9 rows  Code:0
  company_property_levels                            7 rows  Code:1
  property_feature_mappings                          7 rows  Code:0
  user_properties                                    7 rows  Code:59
  plot_status_history                                5 rows  Code:2
  property_bookings                                  5 rows  Code:0
  property_categories                                5 rows  Code:7
  property_favorites                                 5 rows  Code:16
  property_features                                  5 rows  Code:1
  property_types                                     5 rows  Code:44
  property_valuations                                5 rows  Code:6
  property_views                                     5 rows  Code:31
  property_amenities                                 4 rows  Code:2
  plot_allocations                                   3 rows  Code:7
  plot_bookings                                      3 rows  Code:9
  plot_cuttings                                      3 rows  Code:0
  plot_development                                   3 rows  Code:12
  plot_development_costs                             3 rows  Code:10
  plot_emi_schedule                                  3 rows  Code:2
  plot_images                                        3 rows  Code:1
  plot_rate_calculations                             3 rows  Code:0
  property_ai_tags                                   3 rows  Code:0
  property_analytics                                 3 rows  Code:6
  property_comparisons                               3 rows  Code:5
  property_development_costs                         3 rows  Code:3
  property_documents                                 3 rows  Code:7
  property_inquiries                                 3 rows  Code:14
  property_maintenance                               3 rows  Code:9
  property_market_data                               3 rows  Code:4
  property_ratings                                   3 rows  Code:8
  property_reviews                                   3 rows  Code:30
  property_sales                                     3 rows  Code:4
  property_submissions                               3 rows  Code:4
  user_property_preferences                          3 rows  Code:2
  property_performance_metrics                       2 rows  Code:0
  property_portfolios                                2 rows  Code:1
  plot_payments                                      1 rows  Code:3
  plotting_budgets                                   1 rows  Code:0
  property_allocations                               1 rows  Code:20
  property_comparison_sessions                       1 rows  Code:8
  property_similarity                                1 rows  Code:1
  property_visits                                    1 rows  Code:9
  resell_commission_structure                        1 rows  Code:1
  resell_properties                                  1 rows  Code:1
  resell_property_images                             1 rows  Code:0

=== BOOKING (13 tables) ===
  visitor_page_views                             10246 rows  Code:1
  lead_visits                                       26 rows  Code:5
  bookings                                          18 rows  Code:203
  visit_reminders                                    9 rows  Code:2
  visits                                             8 rows  Code:15
  booking_emis                                       3 rows  Code:2
  booking_logs                                       3 rows  Code:0
  booking_payments                                   3 rows  Code:28
  land_allocations                                   3 rows  Code:10
  site_visit_requests                                3 rows  Code:1
  site_visits                                        3 rows  Code:17
  visitor_leads                                      2 rows  Code:2
  visitor_sessions                                   1 rows  Code:7

=== PAYMENT (38 tables) ===
  wallet_points                                     42 rows  Code:42
  payment_settings                                  22 rows  Code:2
  wallet_configuration                              17 rows  Code:3
  loyalty_transactions                               6 rows  Code:5
  emi_installments                                   5 rows  Code:19
  emi_schedule                                       5 rows  Code:8
  transactions                                       5 rows  Code:26
  payment_history                                    4 rows  Code:3
  points_transactions                                4 rows  Code:1
  emi_plans                                          3 rows  Code:33
  farmer_transactions                                3 rows  Code:9
  financial_transactions                             3 rows  Code:11
  hr_reminders                                       3 rows  Code:1
  loan_emi_schedule                                  3 rows  Code:0
  mlm_transactions                                   3 rows  Code:1
  payment_orders                                     3 rows  Code:5
  payment_receipts                                   3 rows  Code:0
  payments                                           3 rows  Code:79
  recurring_transactions                             3 rows  Code:0
  salary_payments                                    3 rows  Code:12
  tax_reminders                                      3 rows  Code:6
  user_wallets                                       3 rows  Code:8
  payment_notifications                              2 rows  Code:1
  payment_plans                                      2 rows  Code:4
  builder_payments                                   1 rows  Code:0
  commission_transactions                            1 rows  Code:2
  emi_calculator_history                             1 rows  Code:2
  emi_payments                                       1 rows  Code:9
  global_payments                                    1 rows  Code:0
  interaction_reminders                              1 rows  Code:1
  invoice_payments                                   1 rows  Code:7
  payment_gateway_config                             1 rows  Code:0
  payment_gateway_logs                               1 rows  Code:0
  payment_summary                                    1 rows  Code:0
  payment_transactions                               1 rows  Code:20
  rent_payments                                      1 rows  Code:0
  user_payment_methods                               1 rows  Code:1
  wallet_transactions                                1 rows  Code:8

=== INVOICE (9 tables) ===
  expenses                                           9 rows  Code:10
  invoices                                           8 rows  Code:43
  purchase_invoice_items                             5 rows  Code:0
  invoice_items                                      4 rows  Code:6
  purchase_invoices                                  4 rows  Code:1
  budget_expenses                                    3 rows  Code:0
  sales_invoice_items                                3 rows  Code:0
  sales_invoices                                     3 rows  Code:0
