table,before_rows,before_code_refs,now_status,now_rows,note
builders,2,3,DROPPED,0,
companies,1,0,DROPPED,0,
addresses,5,0,DROPPED,0,
user_addresses,2,0,DROPPED,0,
bank_branches,30,3,DROPPED,0,
accounting_settings,3,0,DROPPED,0,
kyc_verification,3,3,DROPPED,0,
user_social_accounts,3,0,DROPPED,0,
accounting_payments,1,0,DROPPED,0,
contacts,8,4,DROPPED,0,
email_verifications,3,0,DROPPED,0,
contact_requests,2,0,DROPPED,0,
plot_master,77,2,DROPPED,0,
property_performance,72,0,DROPPED,0,
property_summary,72,0,DROPPED,0,
plot_categories,16,1,DROPPED,0,
property_feature_map,9,0,DROPPED,0,
company_property_levels,7,1,DROPPED,0,
property_feature_mappings,7,0,DROPPED,0,
plot_status_history,5,2,DROPPED,0,
property_bookings,5,0,DROPPED,0,
property_features,5,1,DROPPED,0,
property_valuations,5,6,DROPPED,0,
property_amenities,4,2,DROPPED,0,
plot_cuttings,3,0,DROPPED,0,
plot_emi_schedule,3,2,DROPPED,0,
plot_images,3,1,DROPPED,0,
plot_rate_calculations,3,0,DROPPED,0,
property_ai_tags,3,0,DROPPED,0,
property_analytics,3,6,DROPPED,0,
property_comparisons,3,5,DROPPED,0,
property_development_costs,3,3,DROPPED,0,
property_documents,3,7,DROPPED,0,
property_market_data,3,4,DROPPED,0,
property_ratings,3,8,DROPPED,0,
property_sales,3,4,DROPPED,0,
property_submissions,3,4,DROPPED,0,
user_property_preferences,3,2,DROPPED,0,
property_performance_metrics,2,0,DROPPED,0,
property_portfolios,2,1,DROPPED,0,
plot_payments,1,3,DROPPED,0,
plotting_budgets,1,0,DROPPED,0,
property_comparison_sessions,1,8,DROPPED,0,
property_similarity,1,1,DROPPED,0,
resell_commission_structure,1,1,DROPPED,0,
resell_properties,1,1,DROPPED,0,
resell_property_images,1,0,DROPPED,0,
visitor_page_views,10246,1,DROPPED,0,
visit_reminders,9,2,DROPPED,0,
booking_emis,3,2,DROPPED,0,
booking_logs,3,0,DROPPED,0,
site_visit_requests,3,1,DROPPED,0,
visitor_leads,2,2,DROPPED,0,
visitor_sessions,1,7,DROPPED,0,
payment_settings,22,2,DROPPED,0,
wallet_configuration,17,3,DROPPED,0,
payment_history,4,3,DROPPED,0,
points_transactions,4,1,DROPPED,0,
hr_reminders,3,1,DROPPED,0,
loan_emi_schedule,3,0,DROPPED,0,
mlm_transactions,3,1,DROPPED,0,
payment_orders,3,5,DROPPED,0,
payment_receipts,3,0,DROPPED,0,
recurring_transactions,3,0,DROPPED,0,
tax_reminders,3,6,DROPPED,0,
payment_notifications,2,1,DROPPED,0,
payment_plans,2,4,DROPPED,0,
builder_payments,1,0,DROPPED,0,
commission_transactions,1,2,DROPPED,0,
emi_calculator_history,1,2,DROPPED,0,
global_payments,1,0,DROPPED,0,
interaction_reminders,1,1,DROPPED,0,
invoice_payments,1,7,DROPPED,0,
payment_gateway_config,1,0,DROPPED,0,
payment_gateway_logs,1,0,DROPPED,0,
payment_summary,1,0,DROPPED,0,
rent_payments,1,0,DROPPED,0,
user_payment_methods,1,1,DROPPED,0,
purchase_invoice_items,5,0,DROPPED,0,
purchase_invoices,4,1,DROPPED,0,
budget_expenses,3,0,DROPPED,0,
sales_invoice_items,3,0,DROPPED,0,
sales_invoices,3,0,DROPPED,0,
invoice_templates,2,2,DROPPED,0,
lead_assignment_history,30,0,DROPPED,0,
