2025-05-01 23:49:04: Starting comprehensive duplicate file cleanup
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\admin\upload\01 LOGIN DETAILS & PROJECT INFO.txt (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\admin\upload\01 LOGIN DETAILS & PROJECT INFO.txt)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\assets\images\property\01 LOGIN DETAILS & PROJECT INFO.txt (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\assets\images\property\01 LOGIN DETAILS & PROJECT INFO.txt)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\assets\images\property\aps site image\aps.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\assets\images\property\aps site image\aps.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\assets\images\property\aps.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\assets\images\property\aps.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\assets\images\site_photo\gorakhpur\aps.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\assets\images\site_photo\gorakhpur\aps.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\images\site_photo\gorakhpur\aps.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\images\site_photo\gorakhpur\aps.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\assets\images\property\aps design.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\assets\images\property\aps design.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\assets\images\site_photo\gorakhpur\apsdesign.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\assets\images\site_photo\gorakhpur\apsdesign.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\images\site_photo\gorakhpur\apsdesign.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\images\site_photo\gorakhpur\apsdesign.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\admin\user\APS.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\admin\user\APS.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\assets\images\property\APS1.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\assets\images\property\APS1.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\assets\images\property\images.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\assets\images\property\images.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\admin\uploads\66d75b3b4a928.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\admin\uploads\66d75b3b4a928.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\admin\uploads\66d75cf3e0de1.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\admin\uploads\66d75cf3e0de1.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\admin\uploads\66d75d777db4a.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\admin\uploads\66d75d777db4a.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\admin\uploads\66d75adf18382.pdf (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\admin\uploads\66d75adf18382.pdf)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\admin\uploads\66dc6f33753c8.pdf (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\admin\uploads\66dc6f33753c8.pdf)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\template\IMG_0035.JPG (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\template\IMG_0035.JPG)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\assets\webfonts (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\assets\webfonts)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\export_rewards.php (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\export_rewards.php)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\export_support.php (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\export_support.php)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\forgot_password.php (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\forgot_password.php)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\gallary.php (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\gallary.php)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\gemini_demo.php (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\gemini_demo.php)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\google_auth.php (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\google_auth.php)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\google_auth_associate.php (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\google_auth_associate.php)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\google_callback.php (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\google_callback.php)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\google_callback_associate.php (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\google_callback_associate.php)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\images\banner\ban5.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\images\banner\ban5.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\images\banner\ban6.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\images\banner\ban6.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\images\banner\ban3.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\images\banner\ban3.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\images\bg-image\pattern\bg-1.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\images\bg-image\pattern\bg-1.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\images\banner\ban1.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\images\banner\ban1.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\images\bg-image\pattern\bg-2.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\images\bg-image\pattern\bg-2.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\assets\images\property-bg.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\assets\images\property-bg.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\images\bg-image\pattern\bg-3.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\images\bg-image\pattern\bg-3.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\assets\images\hero\luxury-home-3.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\assets\images\hero\luxury-home-3.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\images\legal\coi.jpg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\images\legal\coi.jpg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\images\mapsuryoday.pdf (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\images\mapsuryoday.pdf)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\images\site_photo\gorakhpur\APSSuryodayaLayout.pdf (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\images\site_photo\gorakhpur\APSSuryodayaLayout.pdf)
