[WARNING] [2025-05-02 20:32:25] Potentially unused Composer dependency: ext-mysqli
[WARNING] [2025-05-02 20:48:49] Potentially unused Composer dependency: ext-json
[WARNING] [2025-05-02 20:49:51] Large file detected: C:\xampp\htdocs\apsdreamhome\path_update_log.txt, Size: 5591627 bytes
[WARNING] [2025-05-02 20:49:51] Large file detected: C:\xampp\htdocs\apsdreamhome\restore_files_log.txt, Size: 6024847 bytes
[WARNING] [2025-05-02 20:49:51] Large file detected: C:\xampp\htdocs\apsdreamhome\restore_structure_log.txt, Size: 6206700 bytes
[WARNING] [2025-05-02 20:49:51] Large file detected: C:\xampp\htdocs\apsdreamhome\assets\images\bg-image\pattern\pattern.zip, Size: 56182787 bytes
[WARNING] [2025-05-02 20:49:51] Large file detected: C:\xampp\htdocs\apsdreamhome\assets\images\site_photo\gorakhpur\motiram map raghunath nagri.pdf, Size: 5852549 bytes
[WARNING] [2025-05-02 20:49:51] Large file detected: C:\xampp\htdocs\apsdreamhome\template\Real-Estate-large.pdf, Size: 7807415 bytes
[WARNING] [2025-05-02 21:05:09] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\assets\js\bootstrap-datetimepicker.min.js
[WARNING] [2025-05-02 21:05:09] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\assets\js\bootstrap.min.js
[WARNING] [2025-05-02 21:05:09] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\assets\js\jquery-3.2.1.min.js
[WARNING] [2025-05-02 21:05:09] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\assets\js\jquery-ui.min.js
[WARNING] [2025-05-02 21:05:09] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\assets\js\jquery.maskedinput.min.js
[WARNING] [2025-05-02 21:05:09] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\assets\js\moment.min.js
[WARNING] [2025-05-02 21:05:09] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\assets\js\select2.min.js
[WARNING] [2025-05-02 21:05:09] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\assets\plugins\light-gallery\js\lightgallery-all.min.js
[WARNING] [2025-05-02 21:05:09] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\assets\plugins\morris\morris.min.js
[WARNING] [2025-05-02 21:05:09] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\assets\plugins\tinymce\tinymce.min.js
[WARNING] [2025-05-02 21:05:09] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\config\ai_tools_config.php
[WARNING] [2025-05-02 21:05:09] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\includes\admin_header.php
[WARNING] [2025-05-02 21:05:09] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\templates\login_form.php
[WARNING] [2025-05-02 21:05:09] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\aboutadd.php
[WARNING] [2025-05-02 21:05:09] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\aboutedit.php
[WARNING] [2025-05-02 21:05:09] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\addimage.php
[WARNING] [2025-05-02 21:05:09] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\add_employee.php
[WARNING] [2025-05-02 21:05:09] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\adminedit.php
[WARNING] [2025-05-02 21:05:09] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\admin_login_handler.php
[WARNING] [2025-05-02 21:05:09] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\admin_panel.php
[WARNING] [2025-05-02 21:05:09] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\ai_feedback_analytics.php
[WARNING] [2025-05-02 21:05:09] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\associates_management.php
[WARNING] [2025-05-02 21:05:09] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\auto-backup.php
[WARNING] [2025-05-02 21:05:10] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\auto_admin_report_cron.php
[WARNING] [2025-05-02 21:05:10] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\auto_backup_cron.php
[WARNING] [2025-05-02 21:05:10] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\auto_response.php
[WARNING] [2025-05-02 21:05:10] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\backup.php
[WARNING] [2025-05-02 21:05:10] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\feedbackedit.php
[WARNING] [2025-05-02 21:05:10] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\form.php
[WARNING] [2025-05-02 21:05:10] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\gallaryedit.php
[WARNING] [2025-05-02 21:05:10] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\index.php
[WARNING] [2025-05-02 21:05:10] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\integration_settings.php
[WARNING] [2025-05-02 21:05:10] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\log_archive_view.php
[WARNING] [2025-05-02 21:05:10] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\mail.php
[WARNING] [2025-05-02 21:05:10] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\payments_gateway.php
[WARNING] [2025-05-02 21:05:10] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\profile.php
[WARNING] [2025-05-02 21:05:10] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\register.php
[WARNING] [2025-05-02 21:05:10] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\update_site.php
[WARNING] [2025-05-02 21:05:10] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\upload_audit_log_view.php
[WARNING] [2025-05-02 21:05:10] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\admin\user_actions.php
[WARNING] [2025-05-02 21:05:10] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\app\core\Database.php
[WARNING] [2025-05-02 21:05:10] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\app\models\Database.php
[WARNING] [2025-05-02 21:05:10] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\app\models\User.php
[WARNING] [2025-05-02 21:05:10] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\assets\js\chart.min.js
[WARNING] [2025-05-02 21:05:10] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\assets\js\greensock.js
[WARNING] [2025-05-02 21:05:10] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\assets\js\jquery.min.js
[WARNING] [2025-05-02 21:05:10] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\assets\js\jquery.validate.min.js
[WARNING] [2025-05-02 21:05:10] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\assets\js\layerslider.kreaturamedia.jquery.js
[WARNING] [2025-05-02 21:05:10] Potential security vulnerability in: C:\xampp\htdocs\apsdreamhome\assets\js\layerslider.transitions.js
