
=== wallet (4 candidates) ===
  reward_history                                    5 rows  Code:1  FKΓåÉ:0
  points_transactions                               4 rows  Code:1  FKΓåÉ:0
  gamification_points                               1 rows  Code:2  FKΓåÉ:0
  mlm_points                                        0 rows  Code:2  FKΓåÉ:0

=== commission (7 candidates) ===
  commission_preferences                           36 rows  Code:2  FKΓåÉ:0
  farmer_commission_structures                      3 rows  Code:1  FKΓåÉ:0
  traditional_commissions                           3 rows  Code:1  FKΓåÉ:0
  commission_rules                                  1 rows  Code:1  FKΓåÉ:1
  commission_transactions                           1 rows  Code:2  FKΓåÉ:0
  hybrid_commission_plans                           1 rows  Code:1  FKΓåÉ:0
  resell_commission_structure                       1 rows  Code:1  FKΓåÉ:0

=== salary (1 candidates) ===
  employee_payrolls                                 3 rows  Code:2  FKΓåÉ:0

=== notification (6 candidates) ===
  notification_settings                            31 rows  Code:2  FKΓåÉ:0
  email_config                                      9 rows  Code:1  FKΓåÉ:0
  notification_campaigns                            3 rows  Code:1  FKΓåÉ:0
  sms_templates                                     3 rows  Code:1  FKΓåÉ:0
  payment_notifications                             2 rows  Code:1  FKΓåÉ:0
  mlm_notification_log                              0 rows  Code:1  FKΓåÉ:0

=== audit (12 candidates) ===
  ai_audit_log                                    203 rows  Code:1  FKΓåÉ:0
  lead_status_history                               5 rows  Code:2  FKΓåÉ:0
  plot_status_history                               5 rows  Code:2  FKΓåÉ:0
  integration_logs                                  3 rows  Code:1  FKΓåÉ:0
  mlm_import_audit                                  3 rows  Code:1  FKΓåÉ:0
  api_request_logs                                  1 rows  Code:1  FKΓåÉ:0
  audit_log_archive                                 1 rows  Code:1  FKΓåÉ:0
  audit_schedules                                   1 rows  Code:1  FKΓåÉ:0
  emi_calculator_history                            1 rows  Code:2  FKΓåÉ:0
  file_access_logs                                  1 rows  Code:2  FKΓåÉ:0
  plan_status_history                               1 rows  Code:1  FKΓåÉ:0
  data_change_log                                   0 rows  Code:0  FKΓåÉ:0

=== analytics (6 candidates) ===
  analytics_user_behavior                           5 rows  Code:1  FKΓåÉ:0
  forecast_results                                  3 rows  Code:1  FKΓåÉ:0
  pipeline_analytics                                3 rows  Code:2  FKΓåÉ:0
  analytics_alerts                                  1 rows  Code:1  FKΓåÉ:0
  comparison_analytics                              1 rows  Code:2  FKΓåÉ:0
  system_analytics_metrics                          1 rows  Code:1  FKΓåÉ:0
