id,title,description,price,location,pincode,type,category_id,site_id,project_id,plot_id,land_id,status,created_by,updated_by,created_at,updated_at,deleted_at,property_type_id,agent_id,city,bedrooms,featured,features,amenities,state,country_id,bathrooms,area,area_sqft,area_unit,latitude,longitude,sync_updated_at
10025,"4 BHK Villa in Sahara Estate Lucknow","Luxurious 4 BHK villa in Sahara Estate, Lucknow. Premium gated community with clubhouse and swimming pool.",25000000.00,"Sahara Estate, Lucknow",,house,,,,,,active,,,"2026-06-29 11:05:40","2026-06-29 11:05:40",,,,Lucknow,4,1,"[""Swimming Pool"",""Club House"",""Garden"",""Servant Quarter"",""Modular Kitchen"",""Home Theatre""]","[""Golf Course 5km"",""Hospital 3km"",""Mall 4km"",""School 2km""]","Uttar Pradesh",,4,0.00,3500.00,sqft,,,"2026-06-29 11:05:40"
10024,"2 BHK House in Kunraghat Gorakhpur","Compact 2 BHK house in Kunraghat area. Near APS Dream Home office. Affordable for small families.",3800000.00,"Kunraghat, Gorakhpur",,house,,,,,,active,,,"2026-06-29 11:05:40","2026-06-29 11:05:40",,,,Gorakhpur,2,0,"[""Ready to Move"",""Covered Parking"",""Balcony"",""Water Tank""]","[""Temple 200m"",""Market 500m"",""School 1km""]","Uttar Pradesh",,2,0.00,1100.00,sqft,,,"2026-06-29 11:05:40"
10023,"Independent House in Khorabar Gorakhpur","Beautiful 3 BHK independent house in Khorabar, Gorakhpur. Ready to move with all modern amenities. Near Gorakhpur University.",6500000.00,"Khorabar, Gorakhpur",,house,,,,,,active,,,"2026-06-29 11:05:40","2026-06-29 11:05:40",,,,Gorakhpur,3,1,"[""Ready to Move"",""Parking for 2 Cars"",""Modular Kitchen"",""Garden"",""Servant Quarter""]","[""University 1km"",""Hospital 2km"",""Market 500m""]","Uttar Pradesh",,3,0.00,1800.00,sqft,,,"2026-06-29 11:05:40"
10022,"Residential Plot in Ganga Nagar Varanasi","Peaceful residential plot near Ganga river in Varanasi. Spiritual city with growing infrastructure and tourism potential.",2800000.00,"Ganga Nagar, Varanasi",,land,,,,,,active,,,"2026-06-29 11:05:40","2026-06-29 11:05:40",,,,Varanasi,0,0,"[""River Proximity"",""Spiritual Area"",""Road Access"",""Electricity""]","[""Ghat 1km"",""Temple 500m"",""Market 1km""]","Uttar Pradesh",,0,0.00,1200.00,sqft,,,"2026-06-29 11:05:40"
10021,"3 BHK Flat in APS Heights Naini","Spacious 3 BHK flat in APS Heights, Naini, Prayagraj. Premium construction with balcony and modular kitchen. Ideal for families.",4800000.00,"APS Heights, Naini, Prayagraj",,apartment,,,,,,active,,,"2026-06-29 11:05:40","2026-06-29 11:05:40",,,,Prayagraj,3,0,"[""Balcony"",""Modular Kitchen"",""Lift"",""Parking"",""Power Backup""]","[""School 1km"",""Hospital 2km"",""Temple Walking Distance""]","Uttar Pradesh",,2,0.00,1450.00,sqft,,,"2026-06-29 11:05:40"
10020,"2 BHK Flat in APS Heights Naini","Affordable 2 BHK flat in APS Heights, Naini, Prayagraj. By APS Dream Homes with modern amenities. Near Yamuna Expressway.",3500000.00,"APS Heights, Naini, Prayagraj",,apartment,,,,,,active,,,"2026-06-29 11:05:40","2026-06-29 11:05:40",,,,Prayagraj,2,1,"[""Gated Community"",""Lift"",""Parking"",""Water Supply"",""Electricity""]","[""School 1km"",""Hospital 2km"",""Market 500m"",""Expressway 5km""]","Uttar Pradesh",,2,0.00,1050.00,sqft,,,"2026-06-29 11:05:40"
10019,"2 BHK Flat in Hazratganj","Well-furnished 2 BHK flat in the heart of Lucknow, Hazratganj. Walking distance to Hazratganj Metro, restaurants, and shopping.",5500000.00,"Hazratganj, Lucknow",,apartment,,,,,,active,,,"2026-06-29 11:05:40","2026-06-29 11:05:40",,,,Lucknow,2,0,"[""Furnished"",""Metro Nearby"",""AC"",""Modular Kitchen""]","[""Metro 200m"",""Market Walking Distance"",""Restaurant 100m""]","Uttar Pradesh",,2,0.00,1100.00,sqft,,,"2026-06-29 11:05:40"
10018,"3 BHK Apartment in Gomti Nagar","Modern 3 BHK apartment in prime Gomti Nagar, Lucknow. Near Pallasio Mall and Lohia Park. Premium construction with modular kitchen.",8500000.00,"Gomti Nagar, Lucknow",,apartment,,,,,,active,,,"2026-06-29 11:05:40","2026-06-29 11:05:40",,,,Lucknow,3,1,"[""Modular Kitchen"",""Lift"",""Parking"",""Power Backup"",""Club House""]","[""Mall Walking Distance"",""Park 500m"",""School 1km"",""Hospital 2km""]","Uttar Pradesh",,2,0.00,1650.00,sqft,,,"2026-06-29 11:05:40"
10017,"Plot in Gomti Nagar Extension","Residential plot in Gomti Nagar Extension, Lucknow's fastest-growing locality. Near metro and IT hub. LDA approved with clear titles.",3800000.00,"Gomti Nagar Extension, Lucknow",,land,,,,,,active,,,"2026-06-29 11:05:40","2026-06-29 11:05:40",,,,Lucknow,0,0,"[""LDA Approved"",""Metro Nearby"",""IT Hub"",""Wide Roads""]","[""Metro 2km"",""Mall 3km"",""Hospital 2km""]","Uttar Pradesh",,0,0.00,2152.00,sqft,,,"2026-06-29 11:05:40"
10016,"Residential Plot in APS Valley Lucknow","Premium plotted development by APS Dream Homes in Lucknow. Well-planned township with modern amenities and excellent connectivity to Gomti Nagar.",2500000.00,"APS Valley, Lucknow",,land,,,,,,active,,,"2026-06-29 11:05:40","2026-06-29 11:05:40",,,,Lucknow,0,1,"[""Township"",""Gated Community"",""Park"",""Club House"",""Security""]","[""School in Campus"",""Hospital 3km"",""Market in Campus""]","Uttar Pradesh",,0,0.00,1500.00,sqft,,,"2026-06-29 11:05:40"
